name	R	A	S
LACN 1	-8.70402730217386	17.9993875397185	10.2960401691195
LACN 2	-14.0300776395624	19.6997840113625	12.0723693872265
LACN 3	-21.1130505992236	21.9831091142431	13.2565888659645
LACN 4	-27.335914215438	24.3308356417141	15.2443200045105
LACN 5	-34.6707317300911	26.9948685635248	18.161850868708
LACN 6	-40.6902756398581	28.9274415397255	18.923266506568
LACN 7	-47.0797550271408	31.2107666426062	20.107485985306
LACN 8	-54.6596594747594	33.5493742160577	21.9259112253609
LAMY 1	-29.5122921650571	9.56929064865335	-33.3133571919174
LAMY 2	-34.11	10.68	-33.67
LAMY 3	-39.3825114515097	12.292230089106	-33.4523209876543
LAMY 4	-44.7976717726445	12.9802132646317	-33.0716790123457
LAMY 5	-50.101377769647	13.768558943644	-33.0716790123457
LAMY 6	-55.7543537548991	15.2364107954959	-32.691037037037
LAMY 7	-60.7386037953576	15.9387317831502	-32.5821975308642
LBRI 1	-27.7887861411442	23.4635979690451	-8.11722320077382
LBRI 2	-30.9086039360827	24.506899690674	-7.87120987654322
LBRI 3	-34.4900493241675	24.4847160493827	-7.57234567901236
LBRI 4	-37.4488703288044	24.5117777777778	-6.78400000000002
LBRI 5	-41.014028187249	24.4847160493827	-5.91387654320991
LBRI 6	-44.4335735042676	24.7924087984148	-5.50558024691361
LBRI 7	-48.0386142793818	24.9289425817906	-4.58133333333335
LBRI 8	-51.4625037819887	25.0596541366551	-4.09185185185186
LENT 1	-25.0682130719598	26.7521675234734	-58.1169821673525
LENT 2	-26.7787759022242	27.8407791495199	-56.2357091906722
LENT 3	-29.2291920968753	28.8407791495199	-54.5865898491084
LENT 4	-32.1997284708101	29.8407791495199	-52.9374705075446
LENT 5	-34.5067175857193	31.1793909465021	-50.6541454046639
LENT 6	-36.2151153594474	32.3486968449931	-49.8927297668039
LENT 7	-38.8688512605458	33.4759067215363	-47.8208065843621
LOFC 1	-18.7108170393194	68.0829775427849	-11.1700957492801
LOFC 2	-24.0015770255284	64.7806479575764	-10.820630728704
LOFC 3	-29.4613760700046	61.4920553649837	-9.37533031718135
LOFC 4	-34.2236568026199	56.4097837600455	-7.68087764228423
LOFC 5	-39.329449050071	53.1211911674529	-5.83649904146118
LOFC 6	-43.9719163842441	47.8293680550369	-1.94928916491799
LOFC 7	-48.382721261778	43.739058176794	2.18707297499969
LOFC 8	-52.6165227407994	39.4939552866381	6.07428285154288
LOFC 9	-57.2589900749725	36.215685285735	9.16442276923834
LPCN 1	-14.7669159580536	-38.3869764974586	-10.5479039083994
LPCN 2	-20.6080513286182	-41.9247213534257	-10.5479039083994
LPCN 3	-26.4491866991827	-44.7150094192694	-10.5479039083994
LPCN 4	-33.1076537800505	-48.5019065386109	-10.5479039083994
LPCN 5	-38.4556037663298	-50.8435032464299	-10.5479039083994
LPCN 6	-45.3184037747734	-54.6304003657714	-10.5479039083994
LPCN 7	-51.7725379280653	-58.1681452217385	-10.5479039083994
LPHG 1	-36.4665754226948	-4.62996409593329	-36.2376041054977
LPHG 2	-43.1296394669628	-7.04093076376797	-35.8569621301891
LPHG 3	-50.3012813820558	-8.64830564791559	-35.8569621301891
LPHG 4	-49.9366051470588	-9.18131075951925	-35.2376041054977
LPHG 5	-56.5	-11.47	-34.18
LPHG 6	-63.0899530820835	-14.4165700187785	-31.0728575355102
LPHG 7	-69.509519598654	-15.4165700187785	-28.8422071304734
LPIT 1	-28.975283201709	-21.065101381729	-36.2866979616087
LPIT 2	-33.3673730946685	-22.5231928661655	-35.204351691894
LPIT 3	-38.5131777346314	-23.520481104913	-35.0973731343891
LPIT 4	-43.7052087867131	-24.5553396317013	-34.9900666189422
LPIT 5	-49.3820658521211	-26.5977303471058	-34.0224980679351
LPIT 6	-54.3941135140744	-27.3823592250555	-33.8470878251564
LPIT 7	-59.8699755544097	-28.700253780629	-33.9407312772209
