	name	R	A	S
0	LAMY 2	-34.16666666666666	-5.166666666666671	-24.72222222222223
1	LPLI 1	-37.03773584905662	-5.056603773584911	-16.471698113207538
2	LPLI 2	-40.625	-5.982142857142861	-15.714285714285722
3	LPLI 3	-45.66666666666666	-7.361111111111114	-15.888888888888886
4	LPLI 4	-48.61904761904762	-7.714285714285708	-16.52380952380952
5	LPLI 5	-51.36842105263159	-7.78947368421052	-15.84210526315789
6	LPLI 6	-53.65217391304347	-8.695652173913047	-14.695652173913032
7	LPLI 7	-55.84615384615384	-8.692307692307693	-14.538461538461547
8	LPLI 8	-59.38709677419354	-9.967741935483872	-14.064516129032256
9	LPLI 9	-62.91428571428571	-10.457142857142856	-14.514285714285705
10	LSTG 1	-38.11475409836066	-37.90163934426229	-7.229508196721298
11	LSTG 2	-41.48275862068965	-37.827586206896555	-6.0344827586206975
12	LSTG 3	-44.366666666666674	-37.33333333333333	-3.933333333333337
13	LSTG 4	-47.25	-36.66666666666667	-1.75
14	LSTG 5	-49.84210526315789	-35.473684210526315	0.8947368421052602
15	LSTG 6	-52.95238095238096	-35.42857142857143	2.095238095238102
16	LSTG 7	-56.071428571428584	-35.35714285714286	2.642857142857139
17	LSTG 8	-58.849999999999994	-35.05	3.8499999999999943
18	LPIT 1	-29.447916666666657	-37.875	-19.125
19	RAHP 3	31.266666666666666	-13.933333333333337	-26.933333333333337
20	RAHP 4	35.33333333333333	-13.0	-28.833333333333343
21	RAHP 5	41.611111111111114	-11.777777777777771	-29.333333333333343
22	RAHP 6	48.54166666666667	-11.0	-31.541666666666657
23	LENT 2	-28.65517241379311	4.0	-48.93103448275863
24	LENT 3	-30.35294117647058	5.117647058823536	-44.176470588235304
25	LENT 4	-32.448275862068954	7.517241379310349	-43.72413793103448
26	LENT 5	-34.19999999999999	7.300000000000011	-41.5
27	LENT 6	-35.900000000000006	8.800000000000011	-40.900000000000006
28	LENT 7	-39.0	10.071428571428584	-40.64285714285714
29	LENT 1	-27.666666666666657	2.607142857142861	-50.41666666666666
30	LAMY 1	-29.32558139534885	-5.674418604651166	-25.372093023255815
31	LAMY 3	-39.16666666666666	-4.966666666666669	-24.599999999999994
32	LAMY 4	-44.97142857142856	-3.4857142857142804	-25.19999999999999
